C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_276.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_276.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_276.jpg,0,0,0,27.01043
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_347.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_347.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_347.jpg,0,0,0,26.79219
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_423.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_423.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_423.jpg,0,0,0,26.57572
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_492.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_492.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_492.jpg,0,0,0,26.41451
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_560.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_560.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_560.jpg,0,0,0,26.25426
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_630.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_630.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_630.jpg,0,0,0,26.04211
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_698.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_698.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_698.jpg,0,0,0,25.88412
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_769.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_769.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_769.jpg,0,0,0,25.67494
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_840.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_840.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_840.jpg,0,0,0,25.51916
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_925.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_925.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_925.jpg,0,0,0,25.26163
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_38_993.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_38_993.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_38_993.jpg,0,0,0,25.10835
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_39_060.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_39_060.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_39_060.jpg,0,0,0,24.956
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_39_129.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_39_129.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_39_129.jpg,0,0,0,24.7543
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_39_197.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_39_197.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_39_197.jpg,0,0,0,24.60408
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_39_279.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_39_279.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_39_279.jpg,0,0,0,24.4052
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_39_362.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_39_362.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_39_362.jpg,0,0,0,24.15886
C:\Users\serge\Desktop\sd4_training_data\IMG\center_2023_11_27_13_43_39_443.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\left_2023_11_27_13_43_39_443.jpg,C:\Users\serge\Desktop\sd4_training_data\IMG\right_2023_11_27_13_43_39_443.jpg,0,0.1974537,0,24.02448
